;userName;content;step01
8867;housin nhz;Bpk presiden dan menteri terkait. Coba di pantau kinerja bawahan bapak. Kerja setengah hati. Meluncurkan apk. Tp tidak bisa di pakai. Saya dominisi di kalimantan barat. Mau perolpanjang online. Tp di apk di arahkan perpanjang di daerah kendari dan timika. Gak masuk akal bawahan bapak ini. Mudah2an saja ada menteri yg meninjau tulisan saya;bpk presiden dan menteri terkait coba di pantau kinerja bawahan bapak kerja setengah hati meluncurkan apk tp tidak bisa di pakai saya dominisi di kalimantan barat mau perolpanjang online tp di apk di arahkan perpanjang di daerah kendari dan timika gak masuk akal bawahan bapak ini mudahan saja ada menteri yg meninjau tulisan saya
8868;Abu Aisyah;Recomended;recomended
8869;David Tjiandra;Loading nya selalu lamaaaaaa🙈;loading nya selalu lamaaaaaa
8870;Irwan Syah;Aplikasi macam apa ini Uda benar masukkan email dan password gak bisa juga, padahal email dan password nya Uda benar, ku pikir buat paspor online Mala mudah ini kok sulit kali;aplikasi macam apa ini uda benar masukkan email dan password gak bisa juga padahal email dan password nya uda benar ku pikir buat paspor online mala mudah ini kok sulit kali
8871;ipox cakep;Aplikasi SAMPAH;aplikasi sampah
8872;yudha pradana;Aplikasinya apaan ini? Buat dwonload aja susah, jaringan bagus padahal;aplikasinya apaan ini buat dwonload aja susah jaringan bagus padahal
8873;Giovanni Lawing;Dari dulu memang ya jarang banget nemu aplikasi buatan pemerintah yg bagus. Miris;dari dulu memang ya jarang banget nemu aplikasi buatan pemerintah yg bagus miris
8874;Nala Nala;Ga jelas bgt, bikin kesel. Prosesnya lama, abis tu server tidak valid/error lah. Banyak kendala nya. Macet di complet security-nya.. sampahhhhh;ga jelas bgt bikin kesel prosesnya lama abis tu server tidak validerror lah banyak kendala nya macet di complet security nya sampahhhhh
8875;Vidia Sakinah;Aplikasi M paspor kok gk bisa log in, pas mau log in yg muncul malah layar hitam aja, ditungguin lama juga tetep gk proses itu sistemnya. Tolong diperbaiki. Thx;aplikasi paspor kok gk bisa log in pas mau log in yg muncul malah layar hitam aja ditungguin lama juga tetep gk proses itu sistemnya tolong diperbaiki thx
8876;Ahmad Marga Soerianata;Good Job 👍 Tingkatkan terus kwalitas pelayanan nya. Thank's;good job tingkatkan terus kwalitas pelayanan nya thank
8877;Amadeus Soeroso;Bobrok;bobrok
8878;Erga Setiawan;Kenapa saya tidak mendapatkan kode OTP;kenapa saya tidak mendapatkan kode otp
8879;Luthfiur R;Sebaiknya untuk yg pembuatan paspor tujuan wisata/berkunjung di dalam applikasi sekalian ada dokumen untuk tiket PP, biar kalau pada waktu pengambilan tiket tidak jadi jebakan batman bagi pembuat karena belum bisa menunjukkan tiket PP, dengan begitu pembuat tidak perlu membayar 350.;sebaiknya untuk yg pembuatan paspor tujuan wisataberkunjung di dalam applikasi sekalian ada dokumen untuk tiket pp biar kalau pada waktu pengambilan tiket tidak jadi jebakan batman bagi pembuat karena belum bisa menunjukkan tiket pp dengan begitu pembuat tidak perlu membayar  
8880;Amar Fahmi;Mantap;mantap
8881;Xenia Mania Club Indonesia;Sangat buruk. Bagian klik lokasi imigrasi terdekat, ada nya di Papua, Kendari, Aceh. Padahal sudah jelas alamat pemohon di Jakarta. Harus diperbaiki lagi aplikasi ini. Atau memag belum jadi kah ?;sangat buruk bagian klik lokasi imigrasi terdekat ada nya di papua kendari aceh padahal sudah jelas alamat pemohon di jakarta harus diperbaiki lagi aplikasi ini atau memag belum jadi kah
8882;Zhafran ZayZu;Aplikasinya ntah cemana, perbaiki segera dong!!! Aplikasi sekelas kementrian koq gak jelas gini ya???;aplikasinya ntah cemana perbaiki segera dong aplikasi sekelas kementrian koq gak jelas gini ya
8883;Andi Rustianto;masa sih parah jelek amat;masa sih parah jelek amat
8884;Salim Syarief;Kenapa selalu email tidak valid;kenapa selalu email tidak valid
8885;r Manto;Malah nyusahin;malah nyusahin
8886;ekka Catring;Tolong di improve donk pak, aplikasinya useless, gak guna.;tolong di improve donk pak aplikasinya useless gak guna
8887;Riayana AMi;Jooos;jooos
8888;Cimeno CHanel;Tolong update nya di percepat kalau bisa Terutama di bagian Map....;tolong update nya di percepat kalau bisa terutama di bagian map
8889;Hamada Alie;Mudah dan cepat.;mudah dan cepat
8890;Aldo - SM BTN OT;bagian pemilihan lokasi imigrasi, buka maps error!;bagian pemilihan lokasi imigrasi buka maps error
8891;Joshua Muhamad;Belum satu Minggu reservasi pengambilan paspor sudah kadaluarsa;belum satu minggu reservasi pengambilan paspor sudah kadaluarsa
8892;jonri rayon ronipasla;Sampah;sampah
8893;julie's chocolate;Supaya di hapus app nya.;supaya di hapus app nya
8894;wongbejo200;Aplikasi ini sangat membantu proses membuat paspor. Sangat dimudahkan. Kita tidak lagi perlu menghabiskan banyak waktu untuk mengurus paspor. Isi formulir online dengan benar, lalu bayar. Kemudian pilih jadwal datang ke kantor imigrasi terdekat untuk pengambilan foto dan cek kelengkapan syarat2 nya. Selesai itu, tinggal mengambil buku paspor beberapa hari kemudian. Gampang dan super cepat ! Top keren pelayanan kantor imigrasi sekarang 👍👍;aplikasi ini sangat membantu proses membuat paspor sangat dimudahkan kita tidak lagi perlu menghabiskan banyak waktu untuk mengurus paspor isi formulir online dengan benar lalu bayar kemudian pilih jadwal datang ke kantor imigrasi terdekat untuk pengambilan foto dan cek kelengkapan syarat nya selesai itu tinggal mengambil buku paspor beberapa hari kemudian gampang dan super cepat top keren pelayanan kantor imigrasi sekarang
8895;Adam Ramadhanni;Aplikasi tolol, masa nyari lokasi aja enggak bisa, udah pake alamat lengkap lewat google map pun lokasi tidak ditemukan, giliran pilih lewat peta loadingnya lama banget, dan petanya cuma putih sama titiknya doang warna merah, orang tujuannya online biar mudah, ini malah dipersulit dasar tolol.;aplikasi tolol masa nyari lokasi aja enggak bisa udah pake alamat lengkap lewat google map pun lokasi tidak ditemukan giliran pilih lewat peta loadingnya lama banget dan petanya cuma putih sama titiknya doang warna merah orang tujuannya online biar mudah ini malah dipersulit dasar tolol
8896;Flftydnwm;Tidak bisa membaca peta dengan akurat, tidak bisa scan KTP dan surat kelengkapan dengan baik.;tidak bisa membaca peta dengan akurat tidak bisa scan ktp dan surat kelengkapan dengan baik
8897;Ilham Fauzan;Pas sy buka cara pembayaran ga muncul²;pas sy buka cara pembayaran ga muncul
8898;Vivi Fantian;Aplikasinya bener2 menjebak, merugikan orang awam. Rugi 350,000 karena tidak tau kl ternyata sudah pernah buat paspor tapi malah pilih menu bikin paspor baru. Uang yg sebelumnya udh masuk jadi hangus. Harusnya sistemnya bisa mendetek kl data kita sebelumnya sudah pernah masuk. Kn seharusnya bisa langsung kelacak dari NIK KTP. Kecewa sama aplikasi ini pantas ratingnya 1 koma. Padahal aplikasi negara;aplikasinya bener menjebak merugikan orang awam rugi     karena tidak tau kl ternyata sudah pernah buat paspor tapi malah pilih menu bikin paspor baru uang yg sebelumnya udh masuk jadi hangus harusnya sistemnya bisa mendetek kl data kita sebelumnya sudah pernah masuk kn seharusnya bisa langsung kelacak dari nik ktp kecewa sama aplikasi ini pantas ratingnya   koma padahal aplikasi negara
8899;Rezananda Revanza;Banyak eror;banyak eror
8900;Krisdian Yoga;Gabisa refound .. lagi di jkt .. udh dateng ke kantor yg terdekat ... Tapi gabisa harus sesuai ktp .. dan ke daerah harus ngulang lagi sampe harus bayar lagi .. yg baru mau bikin .. paspor buat kerja .. cari di wilayah daerah ktp ..;gabisa refound lagi di jkt udh dateng ke kantor yg terdekat tapi gabisa harus sesuai ktp dan ke daerah harus ngulang lagi sampe harus bayar lagi yg baru mau bikin paspor buat kerja cari di wilayah daerah ktp
8901;Irma Ciki;👎👎👎👎👎;
8902;Intan Utami Ningrum;Minta tolong untuk diperbaiki lagi sistemnya. Setidaknya, kalau file yang tidak dapat didownload. Arsip nya dikirimkan juga ke email;minta tolong untuk diperbaiki lagi sistemnya setidaknya kalau file yang tidak dapat didownload arsip nya dikirimkan juga ke email
8903;Mohamad Soleh;Elor terus parah;elor terus parah
8904;Eka Seow;Bagus sekali Saya pertama kali buat passpor sangat merasa dimudahkan oleh aplikasi ini, walaupun surat pengantarnya ngk bisa dibuka. N petugas imigrasi Tj. Uban sangat profesional dan kinerjanya cepat. Terima kasih;bagus sekali saya pertama kali buat passpor sangat merasa dimudahkan oleh aplikasi ini walaupun surat pengantarnya ngk bisa dibuka petugas imigrasi tj uban sangat profesional dan kinerjanya cepat terima kasih
8905;dicky haryadi99;Mantap;mantap
8906;Panzi Vidia;"Bukan nya memudah kan..bahkan lbih mnyulitkan,baru buka aplikasi,,,lalu masuk k email,udah di masuk kn email yg kluar bukannya pertanyaan,,malah yg kluar warna hitam,benar"" ngak niat mau memudahkan.";bukan nya memudah kan bahkan lbih mnyulitkan baru buka aplikasi lalu masuk email udah di masuk kn email yg kluar bukannya pertanyaan malah yg kluar warna hitam benar ngak niat mau memudahkan
8907;Muhammad zahran Albi;Tidak dapat daftar dan log in, error email in valid, sudah 2 minggu gak benar-benar, sementara sudah sangat butuh perpanjang paspor. Minta tolong di perbaiki sistemnya, jika belum dapat online, tolong buatkan option lain... Agar masyarakat tidak kesulitan.. Terimakasih;tidak dapat daftar dan log in error email in valid sudah   minggu gak benar benar sementara sudah sangat butuh perpanjang paspor minta tolong di perbaiki sistemnya jika belum dapat online tolong buatkan option lain agar masyarakat tidak kesulitan terimakasih
8908;Ika Kurniati;Tolong dong min lokasi nya dibenerin, masa saya di jakarta tapi kantor imigrasi terdekat di banda aceh. Ga bisa daftar nih;tolong dong min lokasi nya dibenerin masa saya di jakarta tapi kantor imigrasi terdekat di banda aceh ga bisa daftar nih
8909;Tausri Tausri;Apk aneh banyak bug;apk aneh banyak bug
8910;Dyanti Limina;Kenapa tiap kali mau register gak bisa ya.padahal email,no hp sudah sesuai.mohon di bantu admin;kenapa tiap kali mau register gak bisa ya padahal email no hp sudah sesuai mohon di bantu admin
8911;Eko Purwanto;Aplikasi tidak berfungsi dan tidak masuk akal bagaimana bisa buat paspor kalau seperti ini datang ke imigrasi langsung tidak di layani di karenakan tidak daftar online dulu.sekian;aplikasi tidak berfungsi dan tidak masuk akal bagaimana bisa buat paspor kalau seperti ini datang ke imigrasi langsung tidak di layani di karenakan tidak daftar online dulu sekian
8912;Ikhfa S Muttaqin Channel;Sampah, kalo kemampuannya cmn offline ngapain sok sokan online, perbaikan sono apk nya;sampah kalo kemampuannya cmn offline ngapain sok sokan online perbaikan sono apk nya
8913;Bos Ku22;Apk bertujuan mempermudah, masyarakat, Aku setuju ... Sehrusnya ada kebijakan baik di sini , Register , periksa berkas, wawancara , kalo deal , baru kasih billing buat bayar ... Bukan ,sesudah register, trus lgsung , bayar dengan timer yg di tentukan ,, Masih proses pengajuan, blom tau lagi di trima atau tidak,, dah suruh bayar ,, trus kalo ada penolakan, uang gak kembali , kami yg rugi,, sia2 .. jadi tolonglah , kebijakan di proses ulang agar ttidak ada yg di rugikan 🙏😂;apk bertujuan mempermudah masyarakat aku setuju sehrusnya ada kebijakan baik di sini register periksa berkas wawancara kalo deal baru kasih billing buat bayar bukan sesudah register trus lgsung bayar dengan timer yg di tentukan masih proses pengajuan blom tau lagi di trima atau tidak dah suruh bayar trus kalo ada penolakan uang gak kembali kami yg rugi sia jadi tolonglah kebijakan di proses ulang agar ttidak ada yg di rugikan
8914;Rahmadi Annashr;Selalu error, baru pertama daftar akun aja sudah ga bisa server error;selalu error baru pertama daftar akun aja sudah ga bisa server error
8915;Hendra Saputra;Saya udah hampir satu bulan buat paspor tapi saat ini blom jugak siap dan ke pastian, padahal saya udah bayar udah foto udah semua tapi paspor saya blom jugak siap alasan imigrasi Pekanbaru data saya di tahan sama pusan dan blom dapat persetujuan dari pusan Jakarta, saya mohon pusat ngecek data saya, atas nama Hendra Saputra Pekanbaru Riau, padahal saya memperpanjang paspor bukan buat pertama paspor;saya udah hampir satu bulan buat paspor tapi saat ini blom jugak siap dan ke pastian padahal saya udah bayar udah foto udah semua tapi paspor saya blom jugak siap alasan imigrasi pekanbaru data saya di tahan sama pusan dan blom dapat persetujuan dari pusan jakarta saya mohon pusat ngecek data saya atas nama hendra saputra pekanbaru riau padahal saya memperpanjang paspor bukan buat pertama paspor
8916;Jadiken Ginting;tolong dong maps dan petanya gak bisa di akses.;tolong dong maps dan petanya gak bisa di akses
8917;Rahma Niah;Oke;oke
8918;Septian Aji;Tidak bisa download surat pengantar KANIM, aplikasi nyusahin, udah susah makin ditambah susah, sesuai mottonya, kalo bisa dibikin susah kenapa harus dibikin mudah, aplikasi sampah...;tidak bisa download surat pengantar kanim aplikasi nyusahin udah susah makin ditambah susah sesuai mottonya kalo bisa dibikin susah kenapa harus dibikin mudah aplikasi sampah
8919;Satriana;"Saya lihat banyak ulasan menilai buruk terkait aplikasi ini. Lalu saya download karena memang butuh u/ pengajuan paspor baru. Awalnya lancar, sedikit kendala saat pengisian data, dan mapnya ngblank. Saya tdk bisa pilih kantor imigrasi terdekat, malah yg muncul kantor imigrasi di luar pulau. Seharusnya sekelas aplikasi negara seperti ini sangat perlu diperhatikan dan diupdate minimal 1 x 2 minggu (saya rasa anggaran cukup), supaya masyarakat bisa merasakan manfaatnya yg katanya ""mempermudah"".";saya lihat banyak ulasan menilai buruk terkait aplikasi ini lalu saya download karena memang butuh pengajuan paspor baru awalnya lancar sedikit kendala saat pengisian data dan mapnya ngblank saya tdk bisa pilih kantor imigrasi terdekat malah yg muncul kantor imigrasi di luar pulau seharusnya sekelas aplikasi negara seperti ini sangat perlu diperhatikan dan diupdate minimal     minggu saya rasa anggaran cukup supaya masyarakat bisa merasakan manfaatnya yg katanya mempermudah
8920;Rahmad Saragih;Coba dlu;coba dlu
8921;TONIAHAMD0707 OFFICIAL;Ko eror;ko eror
8922;Alfian Tamsilu;Kurang setuju app ini. Sya telah byar ke pendapatan negara350rb. Artinya sya dpat lampu hijau dunk. Sdangkan setiba sya di kantor imigrasi kelas ll non tpi kota palopo sulawesi selatan . malah ribet dg alasan bpak masih berlaku 10 bln.saya jawab pak sya PELAUT kami tdk menentu turun kpan&dimana.kpl kami world wide keliling dunia eh mlah Dsuruh ikuti jalur cepat sehari jdi.lahhhh sdangkan pembayaran sya sdah masuk ke negara. Jwabnya hangus pak. Sya coba di imigrasi kota makassar mreka setujui.;kurang setuju app ini sya telah byar ke pendapatan negararb artinya sya dpat lampu hijau dunk sdangkan setiba sya di kantor imigrasi kelas ll non tpi kota palopo sulawesi selatan malah ribet dg alasan bpak masih berlaku   bln saya jawab pak sya pelaut kami tdk menentu turun kpandimana kpl kami world wide keliling dunia eh mlah dsuruh ikuti jalur cepat sehari jdi lahhhh sdangkan pembayaran sya sdah masuk ke negara jwabnya hangus pak sya coba di imigrasi kota makassar mreka setujui
8923;ali mustofa;Jelek sekali servernya;jelek sekali servernya
8924;Hartika Imanniar;Aplikasi shibal saekkia banget si;aplikasi shibal saekkia banget si
8925;Yuli Alawiyah akyas;Daftar nya susahhh sekali, kode otp juga susah masukin nya berkali2, ulang lagi ga bisa bisa, d uninstal ulang lagi tetep ga bisa daftar, online memudahkan ini malah menyulitkan!;daftar nya susahhh sekali kode otp juga susah masukin nya berkali ulang lagi ga bisa bisa uninstal ulang lagi tetep ga bisa daftar online memudahkan ini malah menyulitkan
8926;Harry katsu;Memalukan.. Terlihat tidak becus;memalukan terlihat tidak becus
8927;Ahmadabdul_r Rohim;Gini ya kita buat paspor baru jalur resmi pakek aplikasi itu biyaya skitar 3oo+ sama 6oo+ kalau jadi 1 hari nambah 1jt itu RESMI, ada orang gak pakek aplikasi bikin paspor kok bisa dan jadi, Ternyata dia pakek c**a**l**o kan brengsek, emang masalah bukan di aplikasi saja ternyata pihak i***m*!**g******r**a*s******! Yang brengsek..;gini ya kita buat paspor baru jalur resmi pakek aplikasi itu biyaya skitar  oo sama  oo kalau jadi   hari nambah  jt itu resmi ada orang gak pakek aplikasi bikin paspor kok bisa dan jadi ternyata dia pakek kan brengsek emang masalah bukan di aplikasi saja ternyata pihak yang brengsek
8928;Shofiya;Data nya nggak ke save;data nya nggak ke save
8929;iman syahril;Tidak bisa membuat akun vailid terus;tidak bisa membuat akun vailid terus
8930;Dini Andrika;Mau daftar akun email selalu GK valid padahal itu email yg sering saya gunakan... GK jelas ni app;mau daftar akun email selalu gk valid padahal itu email yg sering saya gunakan gk jelas ni app
8931;Dedi saputra 1990;Aplikasi ga jelas malah makin di persulit di bilang Imel tidak valid ,di ganti Imel nya ntah lain lagi di bilang nya setan lah.;aplikasi ga jelas malah makin di persulit di bilang imel tidak valid di ganti imel nya ntah lain lagi di bilang nya setan lah
8932;Arni Channel;Lama bgt cuma mau upload poto gk lanjut2😡;lama bgt cuma mau upload poto gk lanjut
8933;Tri Fun Trik;Aplikasi jelek, gak membantu sama sekali.. percuma install..;aplikasi jelek gak membantu sama sekali percuma install
8934;adibah Cantiktenjo;Aplikasinya maintanance;aplikasinya maintanance
8935;Abang Jagodebong;Bagus dan akurat;bagus dan akurat
8936;M Mitra;Server errror;server errror
8937;samudra ilham;Memalukan online tp dipaksakan menjadi harus offline jg;memalukan online tp dipaksakan menjadi harus offline jg
8938;Tirtasyah Putra OFFICIAL;Nice;nice
8939;samuel wiratama;Waktu mendaftar selalu ada notifikasi paspor tidak valid. Padahal sdh dicek valid;waktu mendaftar selalu ada notifikasi paspor tidak valid padahal sdh dicek valid
8940;Darma Zeus;Lokasi jawa timur .. kantor terdekat timika papua.. gak salah kah ini colek developper applikasi;lokasi jawa timur kantor terdekat timika papua gak salah kah ini colek developper applikasi
8941;Maria Yulia Kurniati Samsulardi;Kenapa saya gak bisa klik meni dropdown ya? Pas di bagian Provinsi;kenapa saya gak bisa klik meni dropdown ya pas di bagian provinsi
8942;Soe Nand;Game puzzlenya ndak berfungsi, ndak bisa lanjut buka aplikasinya;game puzzlenya ndak berfungsi ndak bisa lanjut buka aplikasinya
8943;Maya Sabrinha;Apps nya berguna 5 tahun sekali ya 😄, Buka apps nya di hari Jumat jam 2 siang ato setelahnya aja krn emg pendaftaran br dbuka jam segitu. Jd senin - jmt pagi ngga usa diliat2 appsnya, ntr kecewa 🤣 buat yg ngga bisa pilih kanim krn map ngga kebuka, coba deh ubah jenis paspor yg dpilih. Klo pilih e-paspor ngga bakalan muncul pilihan cabang kanim nya. Jadi cuma bisa bikin/perpanjang paspor biasa aja. Pilih paspornya PASPOR BIASA, bukan yg lain 😊;apps nya berguna   tahun sekali ya buka apps nya di hari jumat jam   siang ato setelahnya aja krn emg pendaftaran br dbuka jam segitu jd senin jmt pagi ngga usa diliat appsnya ntr kecewa buat yg ngga bisa pilih kanim krn map ngga kebuka coba deh ubah jenis paspor yg dpilih klo pilih paspor ngga bakalan muncul pilihan cabang kanim nya jadi cuma bisa bikinperpanjang paspor biasa aja pilih paspornya paspor biasa bukan yg lain
8944;Belanja Jastip;Benerin lah map nya! Map isinya cuma blank page doang, dan data pengajuan tiba-tiba jadi double begitu;benerin lah map nya map isinya cuma blank page doang dan data pengajuan tiba tiba jadi double begitu
8945;Infinix Revan;Entah siapa yang salah, ku tak tau...;entah siapa yang salah ku tak tau
8946;Black Walker;Kenapa selalu tidak bisa daftar, padahal nomor tlp belum pernah mendaftar tapi keterangan selalu nomor sudah terdaftar, pakai nomor baru bisa srtelah verifikasi kode otp dari email sudah dapat kode otp katanya email g tertera, gimana g tertera kan udah dapet kode otp dari gmail, ini gimana sih pelayanan onlinenya, sangat amat payah!!!!!;kenapa selalu tidak bisa daftar padahal nomor tlp belum pernah mendaftar tapi keterangan selalu nomor sudah terdaftar pakai nomor baru bisa srtelah verifikasi kode otp dari email sudah dapat kode otp katanya email tertera gimana tertera kan udah dapet kode otp dari gmail ini gimana sih pelayanan onlinenya sangat amat payah
8947;Jeffry Wijaya;Semua sdh berhasil upload. Pilihan Kantor imigrasi pilihanya di luar pulau kt tinggal. Bagaimana mau simple klw harus keluar pulau. Tetap saja harus datang sendiri bt tanya ke kanor imigrasi 👎👎;semua sdh berhasil upload pilihan kantor imigrasi pilihanya di luar pulau kt tinggal bagaimana mau simple klw harus keluar pulau tetap saja harus datang sendiri bt tanya ke kanor imigrasi
8948;Yumi Tahara;justru bikin susah gak semua paham.ngisi blangko dan bikin ribet akhirnya paspor ditolak.uang hangus.pantesan banyk yg merot kena strok krn mnyusahkan orang.;justru bikin susah gak semua paham ngisi blangko dan bikin ribet akhirnya paspor ditolak uang hangus pantesan banyk yg merot kena strok krn mnyusahkan orang
8949;Iniarindaarin;Katanya paspor mudah? Kok peta lokasinya menyusahkan sekali. Mana saya dr jawa tapi kantor imigrasi terdekat di arahin ke papua, gbsa buat searching lokasi pdhl jaringan bagus GPS aktif. Why?;katanya paspor mudah kok peta lokasinya menyusahkan sekali mana saya dr jawa tapi kantor imigrasi terdekat di arahin ke papua gbsa buat searching lokasi pdhl jaringan bagus gps aktif why
8950;Jihan Fadillah;Ini aplikasi nya lemot bgt, mau pilih tanggal masa iya Uda penuh semua, hadeh;ini aplikasi nya lemot bgt mau pilih tanggal masa iya uda penuh semua hadeh
8951;akmal naurulhaq;jelek;jelek
8952;Willy Bagus;kacau nih mapnya, programmernya payah;kacau nih mapnya programmernya payah
8953;Eric Kaeng;Intansi seperti Imgrasi kok bikin aplikasi abal2!! Map anda tidak bisa digunakan. Ini aplikasi bukan memudahka tp malah bikin pengguna darah tinggi;intansi seperti imgrasi kok bikin aplikasi abal map anda tidak bisa digunakan ini aplikasi bukan memudahka tp malah bikin pengguna darah tinggi
8954;Muchlis Situmorang;Kaga lancar;kaga lancar
8955;Nicko Ajja;"Lah gw udah bayar tapi kok ga masuk"" sampe habis waktunya. Udah gitu ga ada bantuanya";lah gw udah bayar tapi kok ga masuk sampe habis waktunya udah gitu ga ada bantuanya
8956;Rosalinda Lee;Tolong dong , ini kenapa pas mau buka kamera nge lag aplikasinya , mohon di perbaiki lagi aplikasinya 🙏;tolong dong ini kenapa pas mau buka kamera nge lag aplikasinya mohon di perbaiki lagi aplikasinya
8957;Yuni Mayasari;Appnya ok bgt, alhamdulilah berjalan lancar dan sangat membantu, dari kuota, pembayaran (dikasih waktu bayar 2 jam, bayar di mesin ATM bank terdekat buat yg ga punya internet bangking) dan kantor imigrasi yg diinginkan, hari H Langsung cus ke imigrasi kelapa gading, melengkapi persyaratan dokumen yg diminta baik yg asli (KTP, KK, akta lahir, ijasah dan buku nikah) maupun foto copynya masing2 satu rangkap, print surat pengantar , mengisi form, 1 bh materai 10 rb buat pemohon paspor baru.;appnya ok bgt alhamdulilah berjalan lancar dan sangat membantu dari kuota pembayaran dikasih waktu bayar   jam bayar di mesin atm bank terdekat buat yg ga punya internet bangking dan kantor imigrasi yg diinginkan hari langsung cus ke imigrasi kelapa gading melengkapi persyaratan dokumen yg diminta baik yg asli ktp kk akta lahir ijasah dan buku nikah maupun foto copynya masing satu rangkap print surat pengantar mengisi form   bh materai   rb buat pemohon paspor baru
8958;Nur Rahma;Mempersulit;mempersulit
8959;Wahyu Susanto;Semoga berhasil app;semoga berhasil app
8960;Ramses Sopacua;Sering Error, kegunaan tidak fleksibel.;sering error kegunaan tidak fleksibel
8961;Ardaman Channel;Saya ga bisa pilih lokasi terdekat. System lambat. Tolong bantuannya.;saya ga bisa pilih lokasi terdekat system lambat tolong bantuannya
8962;Velky Wilka Purnanda;Kurang mamak kau ngasih duit ya. Sampe2 mau daftar paspor pun kau persulit;kurang mamak kau ngasih duit ya sampe mau daftar paspor pun kau persulit
8963;Melati Jasmine;Aplikasi gajelas kantor terdekat wilayah jakarta selatan malah di arahin ke palu yang jauh jauh maps ngeblank gajelas gajelas padahal punya pemerintah, budget gede aplikasi asal jadi 🤣;aplikasi gajelas kantor terdekat wilayah jakarta selatan malah di arahin ke palu yang jauh jauh maps ngeblank gajelas gajelas padahal punya pemerintah budget gede aplikasi asal jadi
8964;Henny Huda;Aplikasi paling menyebalkan menyusahkan pengguna maps error.pengguna di jawa tp kantor imigrasi yg muncul Timika Papua,Kendari, Palu Hello...anda waras apa gimana??aplikasi error terus kasih solusi lewat offline dong. apalg yg dari daerah kecil jauh, gak ada kantor imigrasi hrs kekota lain yg ada kantornya begitu sampe malah suruh pake aplikasi sampah dan gak ada solusi.wasting time and money🤦‍♀️ Kantor imigrasi punya aplikasi kyk gini bikin malu! MAU BUAT PASPORT SUSAH BENER SOLUSINYA APA???;aplikasi paling menyebalkan menyusahkan pengguna maps error pengguna di jawa tp kantor imigrasi yg muncul timika papua kendari palu hello anda waras apa gimana aplikasi error terus kasih solusi lewat offline dong apalg yg dari daerah kecil jauh gak ada kantor imigrasi hrs kekota lain yg ada kantornya begitu sampe malah suruh pake aplikasi sampah dan gak ada solusi wasting time and money kantor imigrasi punya aplikasi kyk gini bikin malu mau buat pasport susah bener solusinya apa
8965;Tri Gesvin Rz;Baru dipake udah berulah. Sering nge bug. Apl keluar masuk sendiri, data yang disimpan perlu diupload terus, gak ada auto save.;baru dipake udah berulah sering nge bug apl keluar masuk sendiri data yang disimpan perlu diupload terus gak ada auto save
8966;sakura channel;Ada apa dengan aplikasi ini? Sekelas aplikasi yang di biayai oleh negara hanya seperti ini? Error melulu;ada apa dengan aplikasi ini sekelas aplikasi yang di biayai oleh negara hanya seperti ini error melulu
8967;Muhammad Subhan;"Aplikasi Bagong,, susah buat login, gua mau bkin paspor ajg, login"" susah banget, d sruh msukin email udh benar, nmor telpon sdh d gunakan lah, MMI slh, sndi slh pdhl udh bnr smua krna gua ounya catatan. App cacat, tolong d perbaiki, kementrian apa klo bgini, cacat";aplikasi bagong susah buat login gua mau bkin paspor ajg login susah banget sruh msukin email udh benar nmor telpon sdh gunakan lah mmi slh sndi slh pdhl udh bnr smua krna gua ounya catatan app cacat tolong perbaiki kementrian apa klo bgini cacat
8968;Muhammad Ali;Sangat mempersulit dalam pengurusan di kantor imigrasi soalnya saya mengurus di kantor pekan baru yg ingin bepergian kemalaisia dalam rangka wisata atau sekalian mengunjungi kerabat yg ada disana malah kita di suruh buat ngabarin kerabat/keluarga yang disana buat surat semacam surat pernyataan atau pertanggung jawaban kedatangan kita ke sana kan tujuan kita cuma wisata dan sambilan jumpa sama kerabat yang disana, dan mau dibatalin malah kita dah bayar melalui aplikasi. Emng mempersulit juga y;sangat mempersulit dalam pengurusan di kantor imigrasi soalnya saya mengurus di kantor pekan baru yg ingin bepergian kemalaisia dalam rangka wisata atau sekalian mengunjungi kerabat yg ada disana malah kita di suruh buat ngabarin kerabatkeluarga yang disana buat surat semacam surat pernyataan atau pertanggung jawaban kedatangan kita ke sana kan tujuan kita cuma wisata dan sambilan jumpa sama kerabat yang disana dan mau dibatalin malah kita dah bayar melalui aplikasi emng mempersulit juga
8969;Pusat Pin Murah;Bintang 1 aja gak ikhlas ngasihnya, Klx gini cara pelayanan di aplikasi;bintang   aja gak ikhlas ngasihnya klx gini cara pelayanan di aplikasi
8970;Nurisna Ak2;Mapsnya tidak bisa bekerja , pilihan kantor pengambilan paspor terdekat tp yang keluar yg ribuan km dari rumah , ayok lekas diperbaiki sistemnya , mohon maaf belum bintang 5;mapsnya tidak bisa bekerja pilihan kantor pengambilan paspor terdekat tp yang keluar yg ribuan km dari rumah ayok lekas diperbaiki sistemnya mohon maaf belum bintang  
8971;Andi Heri Prastian;Aplikasi yang menguras emosi.. Dah lah mending gak usah ada aplikasi m passpor ini. Gak busa dipakai, percuma.. uninstall lagi deh jadinya;aplikasi yang menguras emosi dah lah mending gak usah ada aplikasi passpor ini gak busa dipakai percuma uninstall lagi deh jadinya
8972;Fachri Wahdanianto;Aplikasi absurd, masa daftar akun aja gagal mulu.;aplikasi absurd masa daftar akun aja gagal mulu
