;userName;content;step01
6732;Febby Hendra8899;Aplikasi terlemot parah bukan mempermudah malah buat emosiii krnaa lemottt bgt...mau masuk verifikasi akun saja gk bisa.. aplikasi apaan bukan mempermudah kami masyarkt...mlh mempersulit saja..;aplikasi terlemot parah bukan mempermudah malah buat emosiii krnaa lemottt bgt mau masuk verifikasi akun saja gk bisa aplikasi apaan bukan mempermudah kami masyarkt mlh mempersulit saja
6733;Nanda Dea;Mau upload gak bisa bisa, mau datang ke kantor nya gak dibolehin suruh daftar online saja Pdhl mah online apk kayak gitu gak bisa upload dokumen²;mau upload gak bisa bisa mau datang ke kantor nya gak dibolehin suruh daftar online saja pdhl mah online apk kayak gitu gak bisa upload dokumen
6734;indri novalia;Aplikasi sangat jelek, mempersulit tidak efesien.;aplikasi sangat jelek mempersulit tidak efesien
6735;Gaillardia rahma;Loadingnya luamaaa dan dokumen yg sudah difoto kembali hilang kalau aplikasinya ditutup. Bikin ngulang2 upload terus. 😪😢;loadingnya luamaaa dan dokumen yg sudah difoto kembali hilang kalau aplikasinya ditutup bikin ngulang upload terus
6736;Muhammad Ronaldo;Seumur hidup gw baru sekarang ada aplikasi yg lemot GK ada obat;seumur hidup gw baru sekarang ada aplikasi yg lemot gk ada obat
6737;aditya kusumo;Luar biasa lemottttt banget.. bukannya mempermudah malah mempersulit masyarakat.;luar biasa lemottttt banget bukannya mempermudah malah mempersulit masyarakat
6738;Hubart Ichdar;Terlalu lemot mohon di perbaiki;terlalu lemot mohon di perbaiki
6739;Carl Lewis;Parah super lemot ,sudah itu update bayarnya lama sekali sd sore gk selesai selesai;parah super lemot sudah itu update bayarnya lama sekali sd sore gk selesai selesai
6740;iqbal azis;Loading lama dan Gagal terus. Tolong diperbaiki. Sudah berhasil.. tiba di kantor imigrasi, ternyata masih mengisi formulir dan melampirkan fotocopy lagi. Kira2 utk apa ya APLIKASI INI???;loading lama dan gagal terus tolong diperbaiki sudah berhasil tiba di kantor imigrasi ternyata masih mengisi formulir dan melampirkan fotocopy lagi kira utk apa ya aplikasi ini
6741;Khairi Setiawan;Buat aplikasi mampu. Buat kenyamanan pemakai tidak mampu.;buat aplikasi mampu buat kenyamanan pemakai tidak mampu
6742;Rasyid Rahmat;gak bisa daftar akun, nomor hp saya sudah ada yg gunakan, mungkin ada kebocoran data, mohon Direktorat Jenderal Imigrasi selidiki dan ditindaklanjuti, sebagai kewajiban melayani rakyat, terimakasih;gak bisa daftar akun nomor hp saya sudah ada yg gunakan mungkin ada kebocoran data mohon direktorat jenderal imigrasi selidiki dan ditindaklanjuti sebagai kewajiban melayani rakyat terimakasih
6743;Nurulwahyu Utami12;Aplikasi gaje server error terus👹;aplikasi gaje server error terus
6744;Chandra Winata;Tolong di sempurnakan lagi, aksesnya lemot banget;tolong di sempurnakan lagi aksesnya lemot banget
6745;Zalaluddin Rumy;Lemot parah gajauh bedalah sama yang komen bintang satu lainnya;lemot parah gajauh bedalah sama yang komen bintang satu lainnya
6746;Ahmad Ramdani;Kalo butuh makan didepan imigrasi ada kantin..jangan mempersulit masyarakat;kalo butuh makan didepan imigrasi ada kantin jangan mempersulit masyarakat
6747;Nurwahid Alfan;Lemotnyaaaaa, rasanya pengen banting HP;lemotnyaaaaa rasanya pengen banting hp
6748;Uqful Amri;Lelet Bukan mempermudah. Lelet sedengah mati Jaringan padahal oke;lelet bukan mempermudah lelet sedengah mati jaringan padahal oke
6749;Andre As;Luar biasa M Paspor sekarang lelet kaya siput,, aplikasinya membuat signal lambat, salah satu cara agar masyarakat umum tidak mendaftar online sendiri karena tidak ada uang tips masuk ke kantor imigrasi;luar biasa paspor sekarang lelet kaya siput aplikasinya membuat signal lambat salah satu cara agar masyarakat umum tidak mendaftar online sendiri karena tidak ada uang tips masuk ke kantor imigrasi
6750;ilham septiawan;Sumpah gk berguna bgt ni aplikasi;sumpah gk berguna bgt ni aplikasi
6751;Fakhmi Praja Armasta;Aplikasi jelek Lama banget Loading nya Bukan nya mempermudah Malah mempersulit;aplikasi jelek lama banget loading nya bukan nya mempermudah malah mempersulit
6752;idham Khalid;Aplikasinya perlu dibuat ulang;aplikasinya perlu dibuat ulang
6753;ming kwan;aplikasi yang sangat hebat sekali. hebat leletnya, hebat lemot server nya. kok bisa bisa2nya sekelas aplikasi bumn kaya gini ya.ampun dah;aplikasi yang sangat hebat sekali hebat leletnya hebat lemot server nya kok bisa bisanya sekelas aplikasi bumn kaya gini ya ampun dah
6754;sisiliaaura putripermia;Kode verifikasinya salah terus padahal udah bener masukin. Udah berkali2 diulang;kode verifikasinya salah terus padahal udah bener masukin udah berkali diulang
6755;Willian septian27;Stres developer;stres developer
6756;Baihaqi Chudori;Lelet sekali sampai sekarang masih susah untuk buat akun;lelet sekali sampai sekarang masih susah untuk buat akun
6757;Disain Project;Aplikasi gak jelas, mau masukin kode OTP loadingnya setahun, sedangkan di email gak masuk kode OTP nya, waktunya cuma 30 detik keburu time out duluan, bukannya mempermudah malah bikin emosi;aplikasi gak jelas mau masukin kode otp loadingnya setahun sedangkan di email gak masuk kode otp nya waktunya cuma   detik keburu time out duluan bukannya mempermudah malah bikin emosi
6758;Jupiter Nur Faiz;Lemot bgt!!! Mempermudah apanya! Jgn cuma pgn mempermudah kerjaan aja, dan makan gaji buta!! Tunjukkin yg bner lah sekelas imigrasi masa gini!!;lemot bgt mempermudah apanya jgn cuma pgn mempermudah kerjaan aja dan makan gaji buta tunjukkin yg bner lah sekelas imigrasi masa gini
6759;Muhammad Faizal Sapthiarsyah;Aplikasi yg parah. Mau daftar susah,;aplikasi yg parah mau daftar susah
6760;Cut Tasya Nabila;sangat lemot;sangat lemot
6761;Hendi Arthana;Walaupun cuapan saya gak akan di waro tapi saya tetap bersuara. Aplikasinya lemot super lemott, jatuhnya bikin emosi buang2 waktu;walaupun cuapan saya gak akan di waro tapi saya tetap bersuara aplikasinya lemot super lemott jatuhnya bikin emosi buang waktu
6762;Hendra S;Buset 2 hri main bkin akun aja g berhasil, yg invalid email lah, yg otp tdk sesuai lah, in blm ke step inti buat pengajuan passport loh, parah bgt;buset   hri main bkin akun aja berhasil yg invalid email lah yg otp tdk sesuai lah in blm ke step inti buat pengajuan passport loh parah bgt
6763;azan syam;Mantap,;mantap
6764;Nanang Setiaji;Kode otp hanya berlaku 3 menit, sebelum di masukin kode nya apl nya lama baru muncul 5 menit kemudian untuk ngisi nya..;kode otp hanya berlaku   menit sebelum di masukin kode nya apl nya lama baru muncul   menit kemudian untuk ngisi nya
6765;Zul Helmi;Aplikasi sialan dibuka ga bisa2;aplikasi sialan dibuka ga bisa
6766;Handy Wiranata;Aplikasi tidak berguna. Belum siap dan mempersulit;aplikasi tidak berguna belum siap dan mempersulit
